Cycle,Week,Subject,URL,Title
2,1,English Grammar,https://ccconnected.com/content/asset/fullScreen/11734,"English Grammar - Cycle 2, Week 01 - Memory Work Video"
2,1,Latin,https://ccconnected.com/content/asset/fullScreen/11679,"Latin - Cycle 2, Week 01  - Memory Work Video"
2,1,Math,https://ccconnected.com/content/asset/fullScreen/11655,"Math - Cycle 2, Week 01 - 1s  - Memory Work Video"
2,1,Geography,https://ccconnected.com/content/asset/fullScreen/11709,"Geography - Cycle 2, Week 01 - Memory Work Video"
2,1,Timeline,https://ccconnected.com/content/asset/fullScreen/11590,"Timeline - Cycle 2, Week 01 - Memory Work Video"
2,1,Fine Arts,,
2,1,Bible,,
2,2,History,https://ccconnected.com/content/asset/fullScreen/11693,"History - Cycle 2, Week 02 - Memory Work Video"
2,2,Science,https://ccconnected.com/content/asset/fullScreen/11612,"Science - Cycle 2, Week 02 - Memory Work Video"
2,2,English Grammar,https://ccconnected.com/content/asset/fullScreen/11736,"English Grammar - Cycle 2, Week 02 - Memory Work Video"
2,2,Latin,https://ccconnected.com/content/asset/fullScreen/11678,"Latin - Cycle 2, Week 02  - Memory Work Video"
2,2,Math,https://ccconnected.com/content/asset/fullScreen/11653,"Math - Cycle 2, Week 02 - 3s  - Memory Work Video"
2,2,Geography,https://ccconnected.com/content/asset/fullScreen/11726,"Geography - Cycle 2, Week 2 - Memory Work Video"
2,2,Timeline,https://ccconnected.com/content/asset/fullScreen/11578,"Timeline - Cycle 2, Week 02 - Memory Work Video"
2,2,Fine Arts,,
2,2,Bible,,
2,3,History,https://ccconnected.com/content/asset/fullScreen/11692,"History - Cycle 2, Week 03 - Memory Work Video"
2,3,Science,https://ccconnected.com/content/asset/fullScreen/11613,"Science - Cycle 2, Week 03 - Memory Work Video"
2,3,English Grammar,https://ccconnected.com/content/asset/fullScreen/11739,"English Grammar - Cycle 2, Week 03 - Memory Work Video"
2,3,Latin,https://ccconnected.com/content/asset/fullScreen/11677,"Latin - Cycle 2, Week 03 - Memory Work Video"
2,3,Math,https://ccconnected.com/content/asset/fullScreen/11651,"Math - Cycle 2, Week 03 - 5s  - Memory Work Video"
2,3,Geography,https://ccconnected.com/content/asset/fullScreen/11716,"Geography - Cycle 2, Week 3 - Memory Work Video"
2,3,Timeline,https://ccconnected.com/content/asset/fullScreen/11581,"Timeline - Cycle 2, Week 03 - Memory Work Video"
2,3,Fine Arts,,
2,3,Bible,,
2,4,History,https://ccconnected.com/content/asset/fullScreen/11691,"History - Cycle 2, Week 04 - Memory Work Video"
2,4,Science,https://ccconnected.com/content/asset/fullScreen/11617,"Science - Cycle 2, Week 04 - Memory Work Video"
2,4,English Grammar,https://ccconnected.com/content/asset/fullScreen/11738,"English Grammar - Cycle 2, Week 04 - Memory Work Video"
2,4,Latin,https://ccconnected.com/content/asset/fullScreen/11676,"Latin - Cycle 2, Week 04 - Memory Work Video"
2,4,Math,https://ccconnected.com/content/asset/fullScreen/11649,"Math - Cycle 2, Week 04 - 7s  - Memory Work Video"
2,4,Geography,https://ccconnected.com/content/asset/fullScreen/11714,"Geography - Cycle 2, Week 4 - Memory Work Video"
2,4,Timeline,https://ccconnected.com/content/asset/fullScreen/11579,"Timeline - Cycle 2, Week 04 - Memory Work Video"
2,4,Fine Arts,,
2,4,Bible,,
2,5,History,https://ccconnected.com/content/asset/fullScreen/11688,"History - Cycle 2, Week 05 - Memory Work Video"
2,5,Science,https://ccconnected.com/content/asset/fullScreen/11619,"Science - Cycle 2, Week 05 - Memory Work Video"
2,5,English Grammar,https://ccconnected.com/content/asset/fullScreen/11741,"English Grammar - Cycle 2, Week 05 - Memory Work Video"
2,5,Latin,https://ccconnected.com/content/asset/fullScreen/11675,"Latin - Cycle 2, Week 05 - Memory Work Video"
2,5,Math,https://ccconnected.com/content/asset/fullScreen/11646,"Math - Cycle 2, Week 05 - 9s  - Memory Work Video"
2,5,Geography,https://ccconnected.com/content/asset/fullScreen/11727,"Geography - Cycle 2, Week 5 - Memory Work Video"
2,5,Timeline,https://ccconnected.com/content/asset/fullScreen/11582,"Timeline - Cycle 2, Week 05 - Memory Work Video"
2,5,Fine Arts,,
2,5,Bible,,
2,6,History,https://ccconnected.com/content/asset/fullScreen/11687,"History - Cycle 2, Week 06 - Memory Work Video"
2,6,Science,https://ccconnected.com/content/asset/fullScreen/11624,"Science - Cycle 2, Week 06 - Memory Work Video"
2,6,English Grammar,https://ccconnected.com/content/asset/fullScreen/11744,"English Grammar - Cycle 2, Week 06 - Memory Work Video"
2,6,Latin,https://ccconnected.com/content/asset/fullScreen/11674,"Latin - Cycle 2, Week 06 - Memory Work Video"
2,6,Math,https://ccconnected.com/content/asset/fullScreen/11645,"Math - Cycle 2, Week 06 - 11s  - Memory Work Video"
2,6,Geography,https://ccconnected.com/content/asset/fullScreen/11718,"Geography - Cycle 2, Week 6 - Memory Work Video"
2,6,Timeline,https://ccconnected.com/content/asset/fullScreen/11580,"Timeline - Cycle 2, Week 06 - Memory Work Video"
2,6,Fine Arts,,
2,6,Bible,,
2,7,History,https://ccconnected.com/content/asset/fullScreen/11686,"History - Cycle 2, Week 07 - Memory Work Video"
2,7,Science,https://ccconnected.com/content/asset/fullScreen/11609,"Science - Cycle 2, Week 07 - Memory Work Video"
2,7,English Grammar,https://ccconnected.com/content/asset/fullScreen/11737,"English Grammar - Cycle 2, Week 07 - Memory Work Video"
2,7,Latin,https://ccconnected.com/content/asset/fullScreen/11673,"Latin - Cycle 2, Week 07 - Memory Work Video"
2,7,Math,https://ccconnected.com/content/asset/fullScreen/11643,"Math - Cycle 2, Week 07 - 13s  - Memory Work Video"
2,7,Geography,https://ccconnected.com/content/asset/fullScreen/11721,"Geography - Cycle 2, Week 07 - Memory Work Video"
2,7,Timeline,https://ccconnected.com/content/asset/fullScreen/11583,"Timeline - Cycle 2, Week 07 - Memory Work Video"
2,7,Fine Arts,,
2,7,Bible,,
2,8,History,https://ccconnected.com/content/asset/fullScreen/11689,"History - Cycle 2, Week 08 - Memory Work Video"
2,8,Science,https://ccconnected.com/content/asset/fullScreen/11610,"Science - Cycle 2, Week 08 - Memory Work Video"
2,8,English Grammar,https://ccconnected.com/content/asset/fullScreen/11728,"English Grammar - Cycle 2, Week 08 - Memory Work Video"
2,8,Latin,https://ccconnected.com/content/asset/fullScreen/11672,"Latin - Cycle 2, Week 08 - Memory Work Video"
2,8,Math,https://ccconnected.com/content/asset/fullScreen/11642,"Math - Cycle 2, Week 08 - 14s  - Memory Work Video"
2,8,Geography,https://ccconnected.com/content/asset/fullScreen/11713,"Geography - Cycle 2, Week 8 - Memory Work Video"
2,8,Timeline,https://ccconnected.com/content/asset/fullScreen/11589,"Timeline - Cycle 2, Week 08 - Memory Work Video"
2,8,Fine Arts,,
2,8,Bible,,
2,9,History,https://ccconnected.com/content/asset/fullScreen/11690,"History - Cycle 2, Week 09 - Memory Work Video"
2,9,Science,https://ccconnected.com/content/asset/fullScreen/11621,"Science - Cycle 2, Week 09 - Memory Work Video"
2,9,English Grammar,https://ccconnected.com/content/asset/fullScreen/11735,"English Grammar - Cycle 2, Week 09 - Memory Work Video"
2,9,Latin,https://ccconnected.com/content/asset/fullScreen/11671,"Latin - Cycle 2, Week 09 - Memory Work Video"
2,9,Math,https://ccconnected.com/content/asset/fullScreen/11641,"Math - Cycle 2, Week 09 - 15s  - Memory Work Video"
2,9,Geography,https://ccconnected.com/content/asset/fullScreen/11704,"Geography - Cycle 2, Week 9 - Memory Work Video"
2,9,Timeline,https://ccconnected.com/content/asset/fullScreen/11591,"Timeline - Cycle 2, Week 09 - Memory Work Video"
2,9,Fine Arts,,
2,9,Bible,,
2,10,History,https://ccconnected.com/content/asset/fullScreen/11700,"History - Cycle 2, Week 10 - Memory Work Video"
2,10,Science,https://ccconnected.com/content/asset/fullScreen/11616,"Science - Cycle 2, Week 10 - Memory Work Video"
2,10,English Grammar,https://ccconnected.com/content/asset/fullScreen/11733,"English Grammar - Cycle 2, Week 10 - Memory Work Video"
2,10,Latin,https://ccconnected.com/content/asset/fullScreen/11670,"Latin - Cycle 2, Week 10 - Memory Work Video"
2,10,Math,https://ccconnected.com/content/asset/fullScreen/11640,"Math - Cycle 2, Week 10  - Memory Work Video"
2,10,Geography,https://ccconnected.com/content/asset/fullScreen/11705,"Geography - Cycle 2, Week 10 - Memory Work Video"
2,10,Timeline,https://ccconnected.com/content/asset/fullScreen/11592,"Timeline - Cycle 2, Week 10 - Memory Work Video"
2,10,Fine Arts,,
2,10,Bible,,
2,11,History,https://ccconnected.com/content/asset/fullScreen/11699,
2,11,Science,https://ccconnected.com/content/asset/fullScreen/11625,
2,11,English Grammar,https://ccconnected.com/content/asset/fullScreen/11743,
2,11,Latin,https://ccconnected.com/content/asset/fullScreen/11669,
2,11,Math,https://ccconnected.com/content/asset/fullScreen/11639,
2,11,Geography,https://ccconnected.com/content/asset/fullScreen/11707,
2,11,Timeline,https://ccconnected.com/content/asset/fullScreen/11587,
2,11,Fine Arts,,
2,11,Bible,https://ccconnected.com/content/asset/fullScreen/3738,
2,12,History,https://ccconnected.com/content/asset/fullScreen/11685,"History - Cycle 2, Week 12 - Memory Work Video"
2,12,Science,https://ccconnected.com/content/asset/fullScreen/11618,"Science - Cycle 2, Week 12 - Memory Work Video"
2,12,English Grammar,https://ccconnected.com/content/asset/fullScreen/11740,"English Grammar - Cycle 2, Week 12 - Memory Work Video"
2,12,Latin,https://ccconnected.com/content/asset/fullScreen/11668,"Latin - Cycle 2, Week 12 - Memory Work Video"
2,12,Math,https://ccconnected.com/content/asset/fullScreen/11638,"Math - Cycle 2, Week 12 - Memory Work Video"
2,12,Geography,https://ccconnected.com/content/asset/fullScreen/11706,"Geography - Cycle 2, Week 12 - Memory Work Video"
2,12,Timeline,https://ccconnected.com/content/asset/fullScreen/11584,"Timeline - Cycle 2, Week 12 - Memory Work Video"
2,12,Fine Arts,,
2,12,Bible,,
2,13,History,https://ccconnected.com/content/asset/fullScreen/11703,"History - Cycle 2, Week 13 - Memory Work Video"
2,13,Science,https://ccconnected.com/content/asset/fullScreen/11620,"Science - Cycle 2, Week 13 - Memory Work Video"
2,13,English Grammar,https://ccconnected.com/content/asset/fullScreen/11747,"English Grammar - Cycle 2, Week 13 - Memory Work Video"
2,13,Latin,https://ccconnected.com/content/asset/fullScreen/11667,"Latin - Cycle 2, Week 13 - Memory Work Video"
2,13,Math,https://ccconnected.com/content/asset/fullScreen/11637,"Math - Cycle 2, Week 13  - Memory Work Video"
2,13,Geography,https://ccconnected.com/content/asset/fullScreen/11711,"Geography - Cycle 2, Week 13 - Memory Work Video"
2,13,Timeline,https://ccconnected.com/content/asset/fullScreen/11598,"Timeline - Cycle 2, Week 13 - Memory Work Video"
2,13,Fine Arts,,
2,13,Bible,,
2,14,History,https://ccconnected.com/content/asset/fullScreen/11702,"History - Cycle 2, Week 14 - Memory Work Video"
2,14,Science,https://ccconnected.com/content/asset/fullScreen/11623,"Science - Cycle 2, Week 14 - Memory Work Video"
2,14,English Grammar,https://ccconnected.com/content/asset/fullScreen/11731,"English Grammar - Cycle 2, Week 14 - Memory Work Video"
2,14,Latin,https://ccconnected.com/content/asset/fullScreen/11666,"Latin - Cycle 2, Week 14 - Memory Work Video"
2,14,Math,https://ccconnected.com/content/asset/fullScreen/11636,"Math - Cycle 2, Week 14  - Memory Work Video"
2,14,Geography,https://ccconnected.com/content/asset/fullScreen/11722,"Geography - Cycle 2, Week 14 - Memory Work Video"
2,14,Timeline,https://ccconnected.com/content/asset/fullScreen/11588,"Timeline - Cycle 2, Week 14 - Memory Work Video"
2,14,Fine Arts,,
2,14,Bible,,
2,15,History,https://ccconnected.com/content/asset/fullScreen/11697,"History - Cycle 2, Week 15 - Memory Work Video"
2,15,Science,https://ccconnected.com/content/asset/fullScreen/11622,"Science - Cycle 2, Week 15 - Memory Work Video"
2,15,English Grammar,https://ccconnected.com/content/asset/fullScreen/11746,"English Grammar - Cycle 2, Week 15 - Memory Work Video"
2,15,Latin,https://ccconnected.com/content/asset/fullScreen/11665,"Latin - Cycle 2, Week 15 - Memory Work Video"
2,15,Math,https://ccconnected.com/content/asset/fullScreen/11635,"Math - Cycle 2, Week 15  - Memory Work Video"
2,15,Geography,https://ccconnected.com/content/asset/fullScreen/11712,"Geography - Cycle 2, Week 15 - Memory Work Video"
2,15,Timeline,https://ccconnected.com/content/asset/fullScreen/11585,"Timeline - Cycle 2, Week 15 - Memory Work Video"
2,15,Fine Arts,,
2,15,Bible,,
2,16,History,https://ccconnected.com/content/asset/fullScreen/11694,"History - Cycle 2, Week 16 - Memory Work Video"
2,16,Science,https://ccconnected.com/content/asset/fullScreen/11615,"Science - Cycle 2, Week 16 - Memory Work Video"
2,16,English Grammar,https://ccconnected.com/content/asset/fullScreen/11732,"English Grammar - Cycle 2, Week 16 - Memory Work Video"
2,16,Latin,https://ccconnected.com/content/asset/fullScreen/11664,"Latin - Cycle 2, Week 16 - Memory Work Video"
2,16,Math,https://ccconnected.com/content/asset/fullScreen/11634,"Math - Cycle 2, Week 16  - Memory Work Video"
2,16,Geography,https://ccconnected.com/content/asset/fullScreen/11723,"Geography - Cycle 2, Week 16 - Memory Work Video"
2,16,Timeline,https://ccconnected.com/content/asset/fullScreen/11595,"Timeline - Cycle 2, Week 16 - Memory Work Video"
2,16,Fine Arts,,
2,16,Bible,,
2,17,History,https://ccconnected.com/content/asset/fullScreen/11696,"History - Cycle 2, Week 17 - Memory Work Video"
2,17,Science,https://ccconnected.com/content/asset/fullScreen/11611,"Science - Cycle 2, Week 17 - Memory Work Video"
2,17,English Grammar,https://ccconnected.com/content/asset/fullScreen/11729,"English Grammar - Cycle 2, Week 17 - Memory Work Video"
2,17,Latin,https://ccconnected.com/content/asset/fullScreen/11663,"Latin - Cycle 2, Week 17 - Memory Work Video"
2,17,Math,https://ccconnected.com/content/asset/fullScreen/11633,"Math - Cycle 2, Week 17  - Memory Work Video"
2,17,Geography,https://ccconnected.com/content/asset/fullScreen/11724,"Geography - Cycle 2, Week 17 - Memory Work Video"
2,17,Timeline,https://ccconnected.com/content/asset/fullScreen/11597,"Timeline - Cycle 2, Week 17 - Memory Work Video"
2,17,Fine Arts,,
2,17,Bible,,
2,18,History,https://ccconnected.com/content/asset/fullScreen/11695,"History - Cycle 2, Week 18 - Memory Work Video"
2,18,Science,https://ccconnected.com/content/asset/fullScreen/11604,"Science - Cycle 2, Week 18 - Memory Work Video"
2,18,English Grammar,https://ccconnected.com/content/asset/fullScreen/11730,"English Grammar - Cycle 2, Week 18 - Memory Work Video"
2,18,Latin,https://ccconnected.com/content/asset/fullScreen/11662,"Latin - Cycle 2, Week 18 - Memory Work Video"
2,18,Math,https://ccconnected.com/content/asset/fullScreen/11632,"Math - Cycle 2, Week 18  - Memory Work Video"
2,18,Geography,https://ccconnected.com/content/asset/fullScreen/11725,"Geography - Cycle 2, Week 18 - Memory Work Video"
2,18,Timeline,https://ccconnected.com/content/asset/fullScreen/11594,"Timeline - Cycle 2, Week 18 - Memory Work Video"
2,18,Fine Arts,,
2,18,Bible,,
2,19,History,https://ccconnected.com/content/asset/fullScreen/11681,"History - Cycle 2, Week 19 - Memory Work Video"
2,19,Science,https://ccconnected.com/content/asset/fullScreen/11605,"Science - Cycle 2, Week 19 - Memory Work Video"
2,19,English Grammar,https://ccconnected.com/content/asset/fullScreen/11745,"English Grammar - Cycle 2, Week 19 - Memory Work Video"
2,19,Latin,https://ccconnected.com/content/asset/fullScreen/11661,"Latin - Cycle 2, Week 19 - Memory Work Video"
2,19,Math,https://ccconnected.com/content/asset/fullScreen/11631,"Math - Cycle 2, Week 19 - Memory Work Video"
2,19,Geography,https://ccconnected.com/content/asset/fullScreen/11719,"Geography - Cycle 2, Week 19 - Memory Work Video"
2,19,Timeline,https://ccconnected.com/content/asset/fullScreen/11599,"Timeline - Cycle 2, Week 19 - Memory Work Video"
2,19,Fine Arts,,
2,19,Bible,,
2,20,History,https://ccconnected.com/content/asset/fullScreen/11680,"History - Cycle 2, Week 20 - Memory Work Video"
2,20,Science,https://ccconnected.com/content/asset/fullScreen/11607,"Science - Cycle 2, Week 20 - Memory Work Video"
2,20,English Grammar,https://ccconnected.com/content/asset/fullScreen/11742,"English Grammar - Cycle 2, Week 20 - Memory Work Video"
2,20,Latin,https://ccconnected.com/content/asset/fullScreen/11660,"Latin - Cycle 2, Week 20 - Memory Work Video"
2,20,Math,https://ccconnected.com/content/asset/fullScreen/11630,"Math - Cycle 2, Week 20  - Memory Work Video"
2,20,Geography,https://ccconnected.com/content/asset/fullScreen/11715,"Geography - Cycle 2, Week 20 - Memory Work Video"
2,20,Timeline,https://ccconnected.com/content/asset/fullScreen/11600,"Timeline - Cycle 2, Week 20 - Memory Work Video"
2,20,Fine Arts,,
2,20,Bible,,
2,21,History,https://ccconnected.com/content/asset/fullScreen/11683,"History - Cycle 2, Week 21 - Memory Work Video"
2,21,Science,https://ccconnected.com/content/asset/fullScreen/11606,"Science - Cycle 2, Week 21 - Memory Work Video"
2,21,English Grammar,https://ccconnected.com/content/asset/fullScreen/11750,"English Grammar - Cycle 2, Week 21 - Memory Work Video"
2,21,Latin,https://ccconnected.com/content/asset/fullScreen/11659,"Latin - Cycle 2, Week 21 - Memory Work Video"
2,21,Math,https://ccconnected.com/content/asset/fullScreen/11629,"Math - Cycle 2, Week 21  - Memory Work Video"
2,21,Geography,https://ccconnected.com/content/asset/fullScreen/11720,"Geography - Cycle 2, Week 21 - Memory Work Video"
2,21,Timeline,https://ccconnected.com/content/asset/fullScreen/11593,"Timeline - Cycle 2, Week 21 - Memory Work Video"
2,21,Fine Arts,,
2,21,Bible,,
2,22,History,https://ccconnected.com/content/asset/fullScreen/11682,"History - Cycle 2, Week 22 - Memory Work Video"
2,22,Science,https://ccconnected.com/content/asset/fullScreen/11602,"Science - Cycle 2, Week 22 - Memory Work Video"
2,22,English Grammar,https://ccconnected.com/content/asset/fullScreen/11749,"English Grammar - Cycle 2, Week 22 - Memory Work Video"
2,22,Latin,https://ccconnected.com/content/asset/fullScreen/11656,"Latin - Cycle 2, Week 22 - Memory Work Video"
2,22,Math,https://ccconnected.com/content/asset/fullScreen/11628,"Math - Cycle 2, Week 22  - Memory Work Video"
2,22,Geography,https://ccconnected.com/content/asset/fullScreen/11717,"Geography - Cycle 2, Week 22 - Memory Work Video"
2,22,Timeline,https://ccconnected.com/content/asset/fullScreen/11601,"Timeline - Cycle 2, Week 22 - Memory Work Video"
2,22,Fine Arts,,
2,22,Bible,,
2,23,History,https://ccconnected.com/content/asset/fullScreen/11684,"History - Cycle 2, Week 23 - Memory Work Video"
2,23,Science,https://ccconnected.com/content/asset/fullScreen/11603,"Science - Cycle 2, Week 23 - Memory Work Video"
2,23,English Grammar,https://ccconnected.com/content/asset/fullScreen/11748,"English Grammar - Cycle 2, Week 23 - Memory Work Video"
2,23,Latin,https://ccconnected.com/content/asset/fullScreen/11658,"Latin - Cycle 2, Week 23 - Memory Work Video"
2,23,Math,https://ccconnected.com/content/asset/fullScreen/11627,"Math - Cycle 2, Week 23  - Memory Work Video"
2,23,Geography,https://ccconnected.com/content/asset/fullScreen/11710,"Geography - Cycle 2, Week 23 - Memory Work Video"
2,23,Timeline,https://ccconnected.com/content/asset/fullScreen/11596,"Timeline - Cycle 2, Week 23 - Memory Work Video"
2,23,Fine Arts,,
2,23,Bible,,
2,24,History,https://ccconnected.com/content/asset/fullScreen/11698,"History - Cycle 2, Week 24 - Memory Work Video"
2,24,Science,https://ccconnected.com/content/asset/fullScreen/11608,"Science - Cycle 2, Week 24 - Memory Work Video"
2,24,English Grammar,https://ccconnected.com/content/asset/fullScreen/11751,"English Grammar - Cycle 2, Week 24 - Memory Work Video"
2,24,Latin,https://ccconnected.com/content/asset/fullScreen/11657,"Latin - Cycle 2, Week 24 - Memory Work Video"
2,24,Math,https://ccconnected.com/content/asset/fullScreen/11626,"Math - Cycle 2, Week 24  - Memory Work Video"
2,24,Geography,https://ccconnected.com/content/asset/fullScreen/11708,"Geography - Cycle 2, Week 24 - Memory Work Video"
2,24,Timeline,https://ccconnected.com/content/asset/fullScreen/11586,"Timeline - Cycle 2, Week 24 - Memory Work Video"
2,24,Fine Arts,,
2,24,Bible,,
3,1,History,,
3,1,Science,,
3,1,English Grammar,,
3,1,Latin,,
3,1,Math,,
3,1,Geography,,
3,1,Timeline,,
3,1,Fine Arts,,
3,1,Bible,,
3,2,History,,
3,2,Science,,
3,2,English Grammar,,
3,2,Latin,,
3,2,Math,,
3,2,Geography,,
3,2,Timeline,,
3,2,Fine Arts,,
3,2,Bible,,
3,3,History,,
3,3,Science,,
3,3,English Grammar,,
3,3,Latin,,
3,3,Math,,
3,3,Geography,,
3,3,Timeline,,
3,3,Fine Arts,,
3,3,Bible,,
3,4,History,,
3,4,Science,,
3,4,English Grammar,,
3,4,Latin,,
3,4,Math,,
3,4,Geography,,
3,4,Timeline,,
3,4,Fine Arts,,
3,4,Bible,,
3,5,History,,
3,5,Science,,
3,5,English Grammar,,
3,5,Latin,,
3,5,Math,,
3,5,Geography,,
3,5,Timeline,,
3,5,Fine Arts,,
3,5,Bible,,
3,6,History,,
3,6,Science,,
3,6,English Grammar,,
3,6,Latin,,
3,6,Math,,
3,6,Geography,,
3,6,Timeline,,
3,6,Fine Arts,,
3,6,Bible,,
3,7,History,,
3,7,Science,,
3,7,English Grammar,,
3,7,Latin,,
3,7,Math,,
3,7,Geography,,
3,7,Timeline,,
3,7,Fine Arts,,
3,7,Bible,,
3,8,History,,
3,8,Science,,
3,8,English Grammar,,
3,8,Latin,,
3,8,Math,,
3,8,Geography,,
3,8,Timeline,,
3,8,Fine Arts,,
3,8,Bible,,
3,9,History,,
3,9,Science,,
3,9,English Grammar,,
3,9,Latin,,
3,9,Math,,
3,9,Geography,,
3,9,Timeline,,
3,9,Fine Arts,,
3,9,Bible,,
3,10,History,,
3,10,Science,,
3,10,English Grammar,,
3,10,Latin,,
3,10,Math,,
3,10,Geography,,
3,10,Timeline,,
3,10,Fine Arts,,
3,10,Bible,,
3,11,History,,
3,11,Science,,
3,11,English Grammar,,
3,11,Latin,,
3,11,Math,,
3,11,Geography,,
3,11,Timeline,,
3,11,Fine Arts,,
3,11,Bible,,
3,12,History,,
3,12,Science,,
3,12,English Grammar,,
3,12,Latin,,
3,12,Math,,
3,12,Geography,,
3,12,Timeline,,
3,12,Fine Arts,,
3,12,Bible,,
3,13,History,,
3,13,Science,,
3,13,English Grammar,,
3,13,Latin,,
3,13,Math,,
3,13,Geography,,
3,13,Timeline,,
3,13,Fine Arts,,
3,13,Bible,,
3,14,History,,
3,14,Science,,
3,14,English Grammar,,
3,14,Latin,,
3,14,Math,,
3,14,Geography,,
3,14,Timeline,,
3,14,Fine Arts,,
3,14,Bible,,
3,15,History,,
3,15,Science,,
3,15,English Grammar,,
3,15,Latin,,
3,15,Math,,
3,15,Geography,,
3,15,Timeline,,
3,15,Fine Arts,,
3,15,Bible,,
3,16,History,,
3,16,Science,,
3,16,English Grammar,,
3,16,Latin,,
3,16,Math,,
3,16,Geography,,
3,16,Timeline,,
